course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,revenue
1070886,Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,True,200,453,42.0,33.0,Intermediate Level,3.0,Business Finance,2017,90600
377370,Learn to Trade the Stock Market without Blowing Your Profits,https://www.udemy.com/learn-to-trade-the-stock-market-without-blowing-your-profits/,True,60,6967,16.0,34.0,All Levels,1.0,Business Finance,2017,418020
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,True,20,727,11.0,25.0,Beginner Level,3.0,Business Finance,2017,14540
1085580,RSI Options Trading & Technical Analysis (3 Course Bundle),https://www.udemy.com/charting-rsi-options-stock-trading-for-beginners-newtechnical-analysis/,True,200,1047,9.0,46.0,All Levels,,Business Finance,2017,209400
1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,https://www.udemy.com/basics-of-mutual-funds-for-ca-cma-cs-cfa-exams/,True,125,1045,2.0,17.0,Intermediate Level,1.0,Business Finance,2017,130625
1076920,Stock Market investment: Practical Accounting,https://www.udemy.com/stock-market-investment-practical-accounting/,True,125,1120,6.0,43.0,Beginner Level,3.0,Business Finance,2017,140000
1103272,How to remove 'Risk from Penny Stocks - Options Trading,https://www.udemy.com/best-penny-stock-options-to-buy-hot-stocks-put-call-stock-options/,True,200,668,12.0,22.0,All Levels,1.0,Business Finance,2017,133600
1022108,Tax Accounting: Difficult Topic Made Easy to Understand,https://www.udemy.com/taxaccounting/,True,200,1033,10.0,29.0,All Levels,2.0,Business Finance,2017,206600
1105216,Bank Financial Management A Comprehensive Study,https://www.udemy.com/bank-financial-management-a-comprehensive-study/,True,50,1081,6.0,21.0,All Levels,1.5,Business Finance,2017,54050
1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,https://www.udemy.com/naked-put-options-trade-covered-call-poor-man-covered-call/,True,200,939,7.0,19.0,All Levels,1.5,Business Finance,2017,187800
1188742,Introduction to Cryptocurrencies and Blockchain,https://www.udemy.com/introduction-to-cryptocurrencies/,False,0,3775,138.0,11.0,Beginner Level,2.0,Business Finance,2017,0
